Department,JobRole,Age,MonthlyIncome,JobSatisfaction,OverTime,WorkLifeBalance,risk_score,risk_level,Attrition
Research & Development,Manager,49,15379,3,No,3,0,Low Risk,No
Sales,Sales Executive,41,7082,3,Yes,3,20,Low Risk,No
Sales,Sales Representative,20,2728,1,No,3,35,Medium Risk,No
Sales,Sales Executive,33,5368,4,Yes,3,20,Low Risk,No
Research & Development,Healthcare Representative,36,5347,3,No,2,35,Medium Risk,No
Human Resources,Human Resources,44,3195,4,Yes,3,20,Low Risk,No
Research & Development,Laboratory Technician,23,3989,3,Yes,3,20,Low Risk,Yes
Research & Development,Laboratory Technician,38,3306,3,No,2,20,Low Risk,No
Research & Development,Healthcare Representative,53,7005,4,No,3,15,Low Risk,No
Sales,Sales Representative,48,2655,3,Yes,3,40,Medium Risk,Yes
Research & Development,Laboratory Technician,32,1393,2,No,3,35,Medium Risk,Yes
Research & Development,Laboratory Technician,26,2570,4,No,3,20,Low Risk,No
Research & Development,Research Scientist,55,3537,2,No,3,40,Medium Risk,No
Research & Development,Laboratory Technician,34,3986,4,No,4,25,Medium Risk,No
Research & Development,Healthcare Representative,60,10883,4,No,4,0,Low Risk,No
Research & Development,Laboratory Technician,33,2028,2,No,3,50,High Risk,No
Sales,Sales Executive,37,9525,4,No,2,20,Low Risk,No
Research & Development,Research Scientist,34,2929,4,No,3,35,Medium Risk,No
Sales,Sales Representative,23,2275,4,Yes,3,30,Medium Risk,Yes
Research & Development,Healthcare Representative,44,7879,4,Yes,3,30,Medium Risk,No
Research & Development,Research Scientist,35,4930,4,Yes,4,35,Medium Risk,No
Sales,Sales Executive,43,7847,4,Yes,3,30,Medium Risk,No
Research & Development,Research Scientist,24,4401,3,No,3,0,Low Risk,No
Sales,Sales Executive,41,9241,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,29,2974,3,No,3,10,Low Risk,No
Sales,Sales Representative,36,4502,4,No,2,30,Medium Risk,No
Research & Development,Healthcare Representative,45,10748,3,No,2,30,Medium Risk,No
Human Resources,Human Resources,24,1555,3,No,3,10,Low Risk,Yes
Sales,Sales Executive,47,12936,3,No,1,30,Medium Risk,Yes
Research & Development,Laboratory Technician,26,2305,3,No,4,10,Low Risk,No
Research & Development,Research Director,45,16704,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,32,3433,3,No,2,35,Medium Risk,No
Research & Development,Laboratory Technician,31,3477,3,No,4,15,Low Risk,No
Human Resources,Human Resources,41,6430,2,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,40,6516,1,Yes,3,60,High Risk,No
Research & Development,Laboratory Technician,24,3907,1,No,4,40,Medium Risk,No
Research & Development,Healthcare Representative,46,5562,2,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,35,6883,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,30,2862,4,No,2,45,Medium Risk,No
Sales,Sales Executive,47,4978,2,No,1,45,Medium Risk,No
Sales,Sales Executive,46,10368,4,Yes,2,40,Medium Risk,No
Sales,Sales Executive,36,6134,1,Yes,3,60,High Risk,Yes
Sales,Sales Executive,32,6735,2,No,3,40,Medium Risk,Yes
Research & Development,Laboratory Technician,23,3295,2,No,1,45,Medium Risk,No
Research & Development,Manufacturing Director,31,5238,4,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,39,6472,4,Yes,3,30,Medium Risk,No
Sales,Sales Executive,32,9610,3,No,1,20,Low Risk,No
Sales,Manager,40,19833,2,No,2,70,High Risk,No
Human Resources,Human Resources,45,9756,3,No,4,0,Low Risk,No
Research & Development,Research Scientist,30,4968,1,No,3,25,Medium Risk,No
Human Resources,Human Resources,24,2145,4,No,3,25,Medium Risk,No
Human Resources,Human Resources,30,2180,4,No,2,30,Medium Risk,Yes
Sales,Sales Executive,31,8346,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,27,3445,4,No,2,20,Low Risk,No
Sales,Sales Representative,29,2760,2,No,3,50,High Risk,Yes
Research & Development,Healthcare Representative,29,6294,3,Yes,4,20,Low Risk,No
Sales,Sales Executive,30,7140,1,No,3,25,Medium Risk,No
Research & Development,Research Scientist,34,2932,4,Yes,3,30,Medium Risk,No
Sales,Sales Executive,33,5147,2,No,2,45,Medium Risk,No
Sales,Sales Executive,49,4507,4,No,4,0,Low Risk,No
Sales,Sales Executive,33,8564,1,Yes,2,80,High Risk,Yes
Research & Development,Laboratory Technician,38,2468,2,No,2,55,High Risk,No
Sales,Sales Executive,31,8161,3,No,3,15,Low Risk,Yes
Research & Development,Research Scientist,29,2109,1,No,3,35,Medium Risk,No
Research & Development,Healthcare Representative,30,5294,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,32,2718,2,No,3,50,High Risk,No
Research & Development,Healthcare Representative,38,5811,4,Yes,3,35,Medium Risk,No
Research & Development,Research Scientist,43,2437,3,Yes,3,30,Medium Risk,Yes
Research & Development,Laboratory Technician,42,2766,2,No,2,70,High Risk,No
Research & Development,Research Director,55,19038,1,No,3,25,Medium Risk,No
Research & Development,Research Scientist,33,3055,2,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,41,2289,1,No,3,35,Medium Risk,No
Sales,Sales Executive,34,4001,3,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,53,12965,3,Yes,2,55,High Risk,No
Human Resources,Human Resources,43,3539,4,No,3,15,Low Risk,No
Sales,Sales Executive,34,6029,4,No,3,0,Low Risk,No
Sales,Sales Representative,21,2679,2,No,3,50,High Risk,Yes
Research & Development,Laboratory Technician,38,3702,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,22,2398,1,Yes,3,55,High Risk,Yes
Sales,Sales Executive,31,5468,4,No,3,25,Medium Risk,No
Research & Development,Manager,51,13116,3,No,3,15,Low Risk,No
Sales,Sales Executive,37,4189,2,No,3,40,Medium Risk,No
Research & Development,Research Director,46,19328,4,Yes,3,20,Low Risk,No
Research & Development,Healthcare Representative,36,8321,1,Yes,3,55,High Risk,No
Research & Development,Research Scientist,44,2342,2,Yes,2,75,High Risk,Yes
Human Resources,Human Resources,37,4071,2,No,2,55,High Risk,No
Sales,Sales Executive,35,5813,4,Yes,3,30,Medium Risk,Yes
Research & Development,Research Scientist,33,3143,1,No,3,35,Medium Risk,No
Research & Development,Research Scientist,28,2044,4,No,4,10,Low Risk,No
Research & Development,Research Director,39,13464,3,No,3,0,Low Risk,No
Sales,Sales Executive,46,7991,2,No,3,40,Medium Risk,No
Research & Development,Laboratory Technician,40,3377,1,No,2,45,Medium Risk,No
Research & Development,Healthcare Representative,42,5538,1,No,2,60,High Risk,No
Research & Development,Manufacturing Director,35,5762,4,No,3,15,Low Risk,No
Human Resources,Human Resources,38,2592,2,No,3,50,High Risk,No
Research & Development,Laboratory Technician,34,5346,1,No,2,45,Medium Risk,Yes
Research & Development,Manufacturing Director,37,4213,1,No,1,45,Medium Risk,Yes
Sales,Sales Executive,39,4127,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,43,2438,3,No,2,45,Medium Risk,No
Research & Development,Healthcare Representative,41,6870,2,No,1,60,High Risk,No
Sales,Sales Executive,41,10447,3,Yes,4,30,Medium Risk,No
Research & Development,Manufacturing Director,30,9667,3,No,3,15,Low Risk,No
Human Resources,Human Resources,26,2148,2,Yes,3,55,High Risk,Yes
Research & Development,Healthcare Representative,46,8926,2,No,4,25,Medium Risk,Yes
Research & Development,Healthcare Representative,40,6513,4,No,3,0,Low Risk,No
Sales,Sales Executive,34,6799,3,No,3,25,Medium Risk,No
Sales,Manager,58,16291,2,No,2,70,High Risk,No
Research & Development,Laboratory Technician,35,2705,3,No,4,25,Medium Risk,No
Research & Development,Manufacturing Director,47,10333,2,Yes,3,55,High Risk,No
Research & Development,Healthcare Representative,40,4448,1,No,3,50,High Risk,No
Research & Development,Research Scientist,54,6854,4,No,2,20,Low Risk,No
Sales,Sales Executive,31,9637,1,No,3,40,Medium Risk,No
Research & Development,Research Scientist,28,3591,1,No,3,25,Medium Risk,No
Sales,Sales Representative,38,5405,4,Yes,2,55,High Risk,No
Sales,Sales Executive,26,4684,4,No,3,0,Low Risk,No
Research & Development,Research Director,58,15787,3,Yes,3,35,Medium Risk,No
Research & Development,Research Scientist,18,1514,3,No,1,45,Medium Risk,No
Human Resources,Human Resources,31,2956,1,No,3,35,Medium Risk,Yes
Human Resources,Human Resources,29,2335,1,Yes,3,70,High Risk,Yes
Sales,Sales Executive,45,5154,3,No,4,10,Low Risk,No
Research & Development,Research Scientist,36,6962,2,Yes,3,45,Medium Risk,No
Sales,Sales Executive,43,5675,4,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,27,2379,4,Yes,2,50,High Risk,No
Research & Development,Laboratory Technician,29,3812,4,No,4,0,Low Risk,No
Sales,Sales Executive,32,4648,4,No,4,0,Low Risk,No
Research & Development,Research Scientist,42,2936,3,No,2,30,Medium Risk,No
Research & Development,Laboratory Technician,47,2105,3,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,46,8578,4,No,2,30,Medium Risk,No
Human Resources,Human Resources,28,2706,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,29,6384,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,42,3968,3,No,3,0,Low Risk,No
Sales,Sales Executive,32,9907,2,Yes,2,65,High Risk,Yes
Sales,Sales Executive,46,13225,1,No,3,40,Medium Risk,No
Sales,Sales Representative,27,3540,3,No,3,25,Medium Risk,No
Human Resources,Human Resources,29,2804,2,No,3,35,Medium Risk,No
Research & Development,Manager,43,19392,3,No,3,25,Medium Risk,No
Research & Development,Research Director,48,19665,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,29,2439,4,Yes,2,50,High Risk,Yes
Sales,Sales Executive,46,7314,2,No,3,25,Medium Risk,Yes
Research & Development,Research Scientist,27,4774,1,No,2,55,High Risk,No
Research & Development,Research Scientist,39,3902,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,55,2662,4,No,4,25,Medium Risk,No
Sales,Sales Representative,28,2856,2,No,3,50,High Risk,No
Sales,Sales Representative,30,1081,4,No,2,45,Medium Risk,Yes
Research & Development,Research Scientist,22,2472,2,Yes,3,55,High Risk,Yes
Sales,Sales Executive,36,5673,3,Yes,3,35,Medium Risk,No
Research & Development,Laboratory Technician,31,4197,3,No,3,15,Low Risk,No
Sales,Sales Executive,34,9713,4,Yes,3,20,Low Risk,No
Research & Development,Laboratory Technician,29,2062,1,No,3,35,Medium Risk,No
Research & Development,Research Scientist,37,4284,1,Yes,3,45,Medium Risk,No
Research & Development,Manufacturing Director,35,4788,2,Yes,3,45,Medium Risk,No
Research & Development,Manufacturing Director,45,5906,4,No,2,35,Medium Risk,No
Human Resources,Human Resources,36,3886,4,No,2,35,Medium Risk,No
Research & Development,Manager,40,16823,1,No,3,50,High Risk,No
Research & Development,Research Scientist,26,2933,3,Yes,2,65,High Risk,No
Sales,Sales Executive,27,6500,3,No,2,35,Medium Risk,No
Research & Development,Manager,48,17174,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,44,5033,1,No,3,40,Medium Risk,No
Research & Development,Research Scientist,34,2307,1,Yes,3,55,High Risk,Yes
Research & Development,Laboratory Technician,56,2587,4,No,3,25,Medium Risk,Yes
Sales,Sales Executive,36,5507,2,No,1,45,Medium Risk,No
Sales,Sales Executive,41,4393,2,No,3,25,Medium Risk,No
Research & Development,Research Director,42,13348,1,No,4,35,Medium Risk,No
Sales,Sales Executive,31,6583,4,Yes,3,20,Low Risk,No
Sales,Sales Executive,34,8103,4,Yes,2,40,Medium Risk,No
Research & Development,Laboratory Technician,31,3978,3,No,2,35,Medium Risk,No
Research & Development,Laboratory Technician,26,2544,4,No,3,20,Low Risk,No
Research & Development,Healthcare Representative,45,5399,3,No,3,15,Low Risk,No
Sales,Sales Executive,33,5487,3,No,2,35,Medium Risk,No
Sales,Sales Executive,28,6834,4,Yes,3,20,Low Risk,No
Sales,Sales Representative,29,1091,1,No,3,35,Medium Risk,Yes
Sales,Sales Executive,39,5736,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,27,2226,2,No,2,70,High Risk,No
Research & Development,Research Scientist,34,5747,4,Yes,3,30,Medium Risk,No
Sales,Sales Executive,28,9854,3,Yes,3,20,Low Risk,Yes
Research & Development,Research Scientist,47,5467,2,No,4,25,Medium Risk,No
Sales,Sales Executive,56,5380,1,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,39,5151,1,No,3,50,High Risk,No
Research & Development,Research Scientist,38,2133,2,Yes,3,55,High Risk,No
Sales,Manager,58,17875,4,Yes,2,40,Medium Risk,No
Research & Development,Research Scientist,32,2432,3,Yes,3,45,Medium Risk,Yes
Research & Development,Research Scientist,38,4771,4,No,4,15,Low Risk,No
Research & Development,Research Director,49,19161,4,No,3,25,Medium Risk,No
Sales,Sales Executive,42,5087,4,Yes,3,35,Medium Risk,No
Human Resources,Human Resources,27,2863,2,No,3,50,High Risk,Yes
Sales,Sales Executive,35,5561,1,No,1,60,High Risk,No
Research & Development,Research Scientist,28,2144,3,No,2,30,Medium Risk,No
Research & Development,Research Scientist,31,3065,1,Yes,4,45,Medium Risk,No
Research & Development,Laboratory Technician,36,2810,2,No,3,50,High Risk,No
Sales,Sales Executive,34,9888,4,No,2,35,Medium Risk,No
Sales,Sales Executive,34,8628,3,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,26,2867,1,No,2,65,High Risk,No
Research & Development,Healthcare Representative,29,5373,1,No,2,60,High Risk,No
Research & Development,Healthcare Representative,32,6667,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,31,5003,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,28,2367,4,No,2,30,Medium Risk,Yes
Sales,Sales Representative,38,2858,1,No,2,70,High Risk,No
Sales,Sales Executive,35,5204,4,Yes,3,20,Low Risk,No
Sales,Sales Executive,27,4105,4,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,32,9679,4,No,3,0,Low Risk,No
Sales,Sales Executive,31,5617,4,Yes,3,35,Medium Risk,Yes
Sales,Sales Executive,53,10448,1,Yes,2,80,High Risk,Yes
Research & Development,Research Scientist,54,2897,3,No,2,45,Medium Risk,No
Research & Development,Healthcare Representative,33,5968,3,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,43,7510,3,No,3,15,Low Risk,No
Human Resources,Human Resources,38,2991,2,Yes,3,55,High Risk,No
Human Resources,Manager,55,19636,2,Yes,3,45,Medium Risk,No
Research & Development,Laboratory Technician,31,1129,4,Yes,3,30,Medium Risk,No
Sales,Sales Executive,39,13341,1,No,3,50,High Risk,No
Research & Development,Research Scientist,42,4332,3,No,3,0,Low Risk,No
Research & Development,Research Director,31,11031,3,No,4,10,Low Risk,No
Research & Development,Manufacturing Director,54,4440,1,Yes,3,45,Medium Risk,No
Research & Development,Healthcare Representative,24,4617,3,No,2,35,Medium Risk,No
Research & Development,Laboratory Technician,23,2647,4,No,4,10,Low Risk,No
Research & Development,Laboratory Technician,40,6323,3,No,4,10,Low Risk,No
Sales,Sales Executive,40,5677,2,No,3,50,High Risk,No
Human Resources,Human Resources,25,2187,2,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,30,3748,2,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,25,3977,3,Yes,2,40,Medium Risk,No
Research & Development,Healthcare Representative,47,8633,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,33,2008,3,No,2,45,Medium Risk,No
Sales,Sales Executive,38,4440,2,No,3,35,Medium Risk,No
Sales,Sales Representative,31,3067,3,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,38,5321,3,No,3,25,Medium Risk,No
Research & Development,Research Scientist,42,5410,1,Yes,2,65,High Risk,No
Research & Development,Research Scientist,41,2782,4,No,3,10,Low Risk,No
Research & Development,Research Director,47,11957,2,No,1,55,High Risk,No
Research & Development,Laboratory Technician,35,2660,3,Yes,3,30,Medium Risk,No
Research & Development,Research Scientist,22,3375,3,No,4,0,Low Risk,No
Research & Development,Research Scientist,35,5098,3,No,3,15,Low Risk,No
Research & Development,Healthcare Representative,33,4878,4,Yes,3,45,Medium Risk,No
Research & Development,Laboratory Technician,32,2837,2,No,3,45,Medium Risk,No
Research & Development,Laboratory Technician,40,2406,4,No,2,45,Medium Risk,No
Sales,Sales Representative,32,2269,2,No,3,50,High Risk,No
Research & Development,Research Scientist,39,4108,4,No,3,15,Low Risk,No
Research & Development,Research Director,38,13206,3,No,3,15,Low Risk,No
Sales,Sales Executive,32,10422,4,No,3,10,Low Risk,No
Research & Development,Research Director,37,13744,4,Yes,3,30,Medium Risk,No
Sales,Sales Executive,25,4907,3,Yes,2,55,High Risk,No
Sales,Sales Representative,52,3482,4,No,2,35,Medium Risk,No
Research & Development,Research Scientist,44,2436,4,Yes,3,45,Medium Risk,No
Sales,Sales Representative,21,2380,1,Yes,3,55,High Risk,No
Research & Development,Manager,39,19431,4,No,2,20,Low Risk,No
Sales,Sales Representative,23,1790,1,No,2,55,High Risk,Yes
Sales,Sales Executive,36,7644,4,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,36,5131,2,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,56,6306,3,No,2,20,Low Risk,No
Research & Development,Research Scientist,29,4787,4,Yes,4,35,Medium Risk,Yes
Research & Development,Manager,42,18880,3,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,56,2339,3,No,1,40,Medium Risk,Yes
Research & Development,Manufacturing Director,41,13570,2,No,3,40,Medium Risk,No
Sales,Sales Executive,34,6712,3,No,3,0,Low Risk,No
Sales,Sales Executive,36,5406,4,No,2,30,Medium Risk,No
Sales,Sales Executive,41,8938,2,No,3,25,Medium Risk,No
Research & Development,Research Scientist,32,2439,1,No,3,35,Medium Risk,No
Human Resources,Human Resources,35,8837,4,Yes,3,20,Low Risk,No
Sales,Sales Executive,38,5343,4,No,3,15,Low Risk,No
Sales,Sales Executive,50,6728,3,No,3,15,Low Risk,Yes
Sales,Sales Executive,36,6652,4,No,2,35,Medium Risk,No
Sales,Sales Executive,45,4850,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,40,2809,3,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,35,5689,3,Yes,4,20,Low Risk,No
Research & Development,Research Scientist,40,2001,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,35,2977,4,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,29,4025,2,Yes,3,45,Medium Risk,No
Research & Development,Research Scientist,29,3785,1,No,1,45,Medium Risk,No
Sales,Sales Executive,50,10854,1,Yes,3,45,Medium Risk,Yes
Sales,Sales Executive,39,12031,4,No,2,45,Medium Risk,No
Research & Development,Manufacturing Director,31,9936,1,No,3,40,Medium Risk,No
Sales,Sales Representative,26,2966,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,36,2571,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,39,9991,1,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,27,6142,2,Yes,3,60,High Risk,No
Sales,Sales Executive,49,5390,2,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,34,4404,3,No,4,15,Low Risk,No
